measure,label,sample_type,content,stratum,tier,n_visible,n_hidden,mean_visible,mean_hidden,delta,U_stat,p_value,sig
empath_politeness,Empath: politeness,zero-filled,All,7,100+,1067,1239,0.0433559684820392,0.022893464260062776,0.020462504221976426,666290.0,0.29296526690659164,
empath_politeness,Empath: politeness,zero-filled,Subjective,1,1–9,3079,2627,0.028927701218758674,0.024694008466785478,0.004233692751973196,4066968.0,0.17050443502475188,
empath_politeness,Empath: politeness,zero-filled,Subjective,2,10–19,360,524,0.029184533919032935,0.02534506751035186,0.003839466408681075,96910.5,0.03188463390659236,**
empath_politeness,Empath: politeness,zero-filled,Subjective,3,20–29,157,242,0.04217683821493965,0.0301908350091273,0.011986003205812352,19335.0,0.37762404878627565,
empath_politeness,Empath: politeness,zero-filled,Subjective,4,30–39,182,114,0.022276041300772154,0.021739492222177564,0.0005365490785945899,10258.0,0.6228410142093543,
empath_politeness,Empath: politeness,zero-filled,Subjective,5,40–49,181,111,0.006604801769457343,0.009065669109280899,-0.002460867339823556,9942.0,0.5495433045565266,
empath_politeness,Empath: politeness,zero-filled,Subjective,6,50–99,466,282,0.026959333820163984,0.048380000422815934,-0.02142066660265195,65749.5,0.9629423476179781,
empath_politeness,Empath: politeness,zero-filled,Subjective,7,100+,573,662,0.05722021569591225,0.013254847090033384,0.043965368605878866,194083.5,0.02597465659146853,**
empath_politeness,Empath: politeness,zero-filled,Factual,1,1–9,2459,2079,0.022577373652197513,0.01964318319390009,0.002934190458297424,2561660.5,0.6157244468931141,
empath_politeness,Empath: politeness,zero-filled,Factual,2,10–19,272,436,0.00975962428490665,0.0064884864531214465,0.0032711378317852036,59305.0,0.9889828718254183,
empath_politeness,Empath: politeness,zero-filled,Factual,3,20–29,120,210,0.08914343434257326,0.012097298800254832,0.07704613554231843,13263.5,0.010551370276609181,**
empath_politeness,Empath: politeness,zero-filled,Factual,4,30–39,161,88,0.027975457037241934,0.022740801912330712,0.0052346551249112215,6853.0,0.11022722765290632,
empath_politeness,Empath: politeness,zero-filled,Factual,5,40–49,140,87,0.011586796064999166,0.0,0.011586796064999166,6264.0,0.11352511845048419,
empath_politeness,Empath: politeness,zero-filled,Factual,6,50–99,424,229,0.018107363976763408,0.01844157224074114,-0.00033420826397773107,48113.0,0.516518108281679,
empath_politeness,Empath: politeness,zero-filled,Factual,7,100+,494,577,0.02727456432505691,0.03395198170643964,-0.006677417381382732,141145.0,0.3833434059069444,
empath_social,Empath: social,zero-filled,All,1,1–9,5538,4706,0.07869975573411091,0.07643297066922004,0.002266785064890864,13116771.0,0.19371292151641428,
empath_social,Empath: social,zero-filled,All,2,10–19,632,960,0.07409492271982163,0.07663847900874433,-0.0025435562889227076,307702.5,0.311677368229322,
empath_social,Empath: social,zero-filled,All,3,20–29,277,452,0.09523397216629628,0.09612241907318274,-0.0008884469068864559,64448.0,0.2126389921712547,
empath_social,Empath: social,zero-filled,All,4,30–39,343,202,0.0916983684670261,0.1016036736769179,-0.009905305209891802,34162.5,0.6107516424173004,
empath_social,Empath: social,zero-filled,All,5,40–49,321,198,0.11572044057754828,0.023070621348340307,0.09264981922920798,32721.0,0.1607121113351937,
empath_social,Empath: social,zero-filled,All,6,50–99,890,511,0.07882636468372793,0.06593611051311675,0.012890254170611182,229675.0,0.5161749028386138,
empath_social,Empath: social,zero-filled,All,7,100+,1067,1239,0.10676156151765864,0.10765570299085105,-0.000894141473192403,670566.0,0.242294703696186,
empath_social,Empath: social,zero-filled,Subjective,1,1–9,3079,2627,0.08134768602979302,0.08788103791345107,-0.006533351883658056,4049381.5,0.8567102840281754,
empath_social,Empath: social,zero-filled,Subjective,2,10–19,360,524,0.05825058213974123,0.087806731774254,-0.029556149634512766,94922.5,0.7414038374688157,
empath_social,Empath: social,zero-filled,Subjective,3,20–29,157,242,0.07418320229829017,0.13905669176017407,-0.0648734894618839,18586.5,0.5264466980407667,
empath_social,Empath: social,zero-filled,Subjective,4,30–39,182,114,0.10357687724721787,0.14528418779952293,-0.04170731055230506,9821.5,0.16412890851718798,
empath_social,Empath: social,zero-filled,Subjective,5,40–49,181,111,0.109013584187594,0.011607714042193728,0.09740587014540028,10398.0,0.17460421477935428,
empath_social,Empath: social,zero-filled,Subjective,6,50–99,466,282,0.08563346962894608,0.07796527591508007,0.007668193713866012,67591.0,0.18405365495587644,
empath_social,Empath: social,zero-filled,Subjective,7,100+,573,662,0.12936987204709716,0.09040523071177392,0.038964641335323236,196303.5,0.03945388122687336,**
empath_social,Empath: social,zero-filled,Factual,1,1–9,2459,2079,0.07538418949563787,0.061967327258640466,0.013416862236997402,2590258.0,0.06759732930910234,*
